id, name, rarity, cardSet, cost, class, category, tribes, strength, health, traits, effects, desc
1, jugger-nut, super-rare, premium, 3, guardian, plant, nut, 2, 3, bullseye|armored-1|team-up, -, -
2, smackadamia, rare, premium, 5, guardian, plant, nut, 4, 5, amphibious, -, when palyed: all nuts get +2 hp
3, photosynthesizer, uncommon, galactic, 1, guardian, trick, -, -1, -1, -, conjure, a plant gets +2 hp. conjure a card
4, poppin-poppies, legendary, premium, 6, guardian, plant, flower, 4, 4, -, make, when played: make lil buddies here and next door
5, pear-cub, event, -, 3, guardian, plant, fruit|animal, 1, 1, amphibious, make, when destroyed: make a grizzly pear here
6, astro-shroom, super-rare, galactic, 1, kabloom, plant, mushroom, 1, 1, bullseye, -, when you play a plant. do 1 damage to the zombie hero
7, berry-blast, common, -, 2, kabloom, trick, berry, -1, -1, -, -, do 3 damage
8, mushroom-grotto, uncommon, galactic, 3, kabloom, environment, mushroom, -1, -1, -, make, when you play a plant here. make a puff-shroom in another random lane
9, gloom-shroom, legendary, colossal, 5, kabloom, plant, mushroom, 5, 5, bullseye, evolution, mushroom evo: do 3 dmg to zombies here and next door
10, veloci-radish-packmate, legendary, triassic, 3, kabloom, plant, root|animal, 1, 3, -, dino-roar, when played: make a copy of this with team-up here. dino roar: this gets +1 str
11, half-banana, uncommon, triassic, 2, mega-grow, plant, fruit, 2, 2, -, -, when destroyed: all frfuits in your hand get +1/+1
12, clique-peas, event, -, 1, mega-grow, plant, bean|pea, 1, 1, -, shuffle, shuffle two of clique peas into your deck. all clique peas get +1/+1 and cost +1 for the rest of the game
13, pea-patch, rare, triassic, 2, mega-grow, plant, leafy|pea, 2, 2, -, fusion, fusion: a plant played on this gets +2/+2
14, doubled-mint, legendary, premium, 2, mega-grow, plant, leafy, 1, 2, -, -, start of turn: double this plant's stats
15, repeater, common, -, 3, mega-grow, plant, pea, 2, 3, double-strike, -, -
16, iceberg-lettuce, uncommon, premium, 1, smarty, trick, leafy, -1, -1, freeze, -, freeze a zombie
17, lightning-reed, rare, premium, 2, smarty, plant, leaft, 2, 2, amphibious|splash damage, -, -
18, rotobaga, super-rare, triassic, 2, smarty, plant, root, 2, 1, amphibious, -, this attacks both lanes next door instead of this lane
19, shooting-starfruit, legendary, galactic, 5, smarty, plant,  fruit, 2, 2, -, -, this attacks in all five lanes
20, cosmic-bean, rare, galactic, 2, smarty, plant, bean, 1, 1, team-up, conjure, when played: conjure a bean. it gets team-up
21, 2nd-best-taco-of-all-time, super-rare, premium, 3, solar, trick, -, -1, -1, -, heal|draw, heal 4. draw a card
22, astrocado, legendary, galactic, 5, solar, plant, fruit, 5, 3, strikethrough, -, when destroyed: gain an astrocado pit
23, cornucopia, legendary, premium, 9, solar, plant, corn|fruit, 6, 6, -, make, when played: make a random plant in each other lane
24, sunflower, common, -, 1, solar, plant, flower, 0, 1, team-up, -, start of turn: you get +1 sun this turn
25, solar-winds, super-rare, galactic, 3, solar, environment, -, -1, -1, -, make, end of turn: make a sunflower here
26, aloesaurus, legendary, triassic, 5, solar, plant, cactus|animal, 4, 7, -, dino-roar|heal, dino-roar: heal all plants and plant hero for 1
